2025/09/10 12:54:23 ✓ 数据库连接成功
🚀 计量证书防伪溯源系统启动成功
🔗 监听端口: 8080
📋 健康检查: http://localhost:8080/health
📖 系统信息: http://localhost:8080/api/v1/info
🔒 使用国密SM3/SM4算法保护数据安全
⛓️  集成Hyperledger Fabric区块链技术
📊 支持互感器测试数据管理
[GIN] 2025/09/10 - 12:54:33 | 200 |      83.865µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/10 - 13:15:56 | 404 |       3.904µs |    192.168.85.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:16:00 | 404 |       5.642µs |    192.168.85.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:17:06 | 404 |        5.31µs |    192.168.85.1 | GET      "/info"
[GIN] 2025/09/10 - 13:17:13 | 204 |      43.377µs |    192.168.85.1 | OPTIONS  "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:17:13 | 404 |       3.746µs |    192.168.85.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:18:24 | 200 |     854.112µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/10 - 13:18:24 | 200 |    1.203989ms |       127.0.0.1 | GET      "/api/v1/info"
[GIN] 2025/09/10 - 13:18:24 | 200 |   29.291833ms |       127.0.0.1 | POST     "/api/v1/customers"
[GIN] 2025/09/10 - 13:18:24 | 200 |    1.491812ms |       127.0.0.1 | GET      "/api/v1/customers"
[GIN] 2025/09/10 - 13:18:25 | 200 |    6.105856ms |       127.0.0.1 | POST     "/api/v1/certificates"
[GIN] 2025/09/10 - 13:18:25 | 200 |    2.838288ms |       127.0.0.1 | GET      "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:18:25 | 200 |    1.175616ms |       127.0.0.1 | GET      "/api/v1/certificates/CERT20250910131825"
[GIN] 2025/09/10 - 13:18:25 | 200 |    9.932793ms |       127.0.0.1 | POST     "/api/v1/test-data"
[GIN] 2025/09/10 - 13:18:25 | 200 |    4.369764ms |       127.0.0.1 | GET      "/api/v1/test-data/CERT20250910131825"
[GIN] 2025/09/10 - 13:18:25 | 200 |     1.16428ms |       127.0.0.1 | GET      "/api/v1/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:18:25 | 200 |    1.600012ms |       127.0.0.1 | POST     "/api/v1/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:19:32 | 204 |       7.515µs |    192.168.85.1 | OPTIONS  "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:19:32 | 404 |       3.351µs |    192.168.85.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:20:37 | 404 |       3.048µs |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:20:46 | 404 |       3.437µs |       127.0.0.1 | POST     "/auth/login"
[GIN] 2025/09/10 - 13:34:06 | 204 |      80.023µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:34:06 | 200 |   10.203869ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:34:26 | 204 |      32.243µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:34:27 | 200 |    2.364785ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:34:27 | 204 |       9.862µs |    192.168.85.1 | OPTIONS  "/api/v1/test-data"
[GIN] 2025/09/10 - 13:34:27 | 404 |       3.923µs |    192.168.85.1 | GET      "/api/v1/test-data"
[GIN] 2025/09/10 - 13:34:28 | 200 |    2.414567ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:34:34 | 404 |       3.759µs |    192.168.85.1 | GET      "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:34:36 | 404 |       6.426µs |    192.168.85.1 | GET      "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:34:57 | 404 |       5.404µs |    192.168.85.1 | GET      "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:35:35 | 404 |       4.087µs |    192.168.85.1 | GET      "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:44:44 | 204 |      46.387µs |    192.168.85.1 | OPTIONS  "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:44:44 | 404 |       3.488µs |    192.168.85.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:44:47 | 404 |       5.098µs |    192.168.85.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:44:57 | 204 |      14.858µs |    192.168.85.1 | OPTIONS  "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:44:57 | 404 |       4.651µs |    192.168.85.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:45:26 | 204 |      35.819µs |    192.168.85.1 | OPTIONS  "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:45:26 | 404 |       4.667µs |    192.168.85.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:46:02 | 204 |       29.31µs |    192.168.85.1 | OPTIONS  "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:46:02 | 404 |           4µs |    192.168.85.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:46:27 | 200 |     196.119µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/10 - 13:51:30 | 204 |      42.356µs |    192.168.85.1 | OPTIONS  "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:51:30 | 404 |       5.596µs |    192.168.85.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:51:41 | 204 |       30.75µs |    192.168.85.1 | OPTIONS  "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:51:41 | 404 |       3.648µs |    192.168.85.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/10 - 13:55:36 | 204 |      27.882µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 13:55:36 | 200 |   29.147806ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 13:55:36 | 204 |       7.389µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 13:55:36 | 200 |    1.565934ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 13:55:44 | 204 |       7.888µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:55:44 | 200 |     1.53888ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:55:49 | 204 |      12.122µs |    192.168.85.1 | OPTIONS  "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:55:49 | 404 |        9.99µs |    192.168.85.1 | POST     "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:55:57 | 204 |       16.61µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 13:55:57 | 200 |    1.180172ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 13:55:57 | 204 |        6.39µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 13:55:57 | 200 |    3.436366ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 13:56:02 | 204 |       9.039µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:56:02 | 200 |    3.887131ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:56:12 | 204 |      15.823µs |    192.168.85.1 | OPTIONS  "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:56:12 | 404 |       4.385µs |    192.168.85.1 | POST     "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:56:14 | 204 |      10.884µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 13:56:14 | 200 |    2.527112ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 13:56:14 | 204 |      13.598µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 13:56:14 | 200 |    1.434724ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 13:56:21 | 204 |       7.374µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:56:21 | 200 |    1.241795ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 13:56:22 | 204 |       7.753µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 13:56:22 | 200 |    2.523851ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 13:56:22 | 204 |       9.472µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 13:56:22 | 200 |     3.34529ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 13:57:14 | 204 |       5.343µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 13:57:14 | 200 |     3.25636ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 13:57:14 | 204 |       9.835µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 13:57:14 | 200 |     3.27105ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 13:57:28 | 204 |        9.16µs |    192.168.85.1 | OPTIONS  "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:57:28 | 404 |       7.659µs |    192.168.85.1 | POST     "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:57:43 | 204 |       8.012µs |    192.168.85.1 | OPTIONS  "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:57:43 | 404 |       3.779µs |    192.168.85.1 | POST     "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:57:47 | 404 |       3.878µs |    192.168.85.1 | GET      "/api/v1/public/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:57:50 | 200 |    4.366682ms |    192.168.85.1 | GET      "/api/v1/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:59:43 | 204 |      66.704µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 13:59:43 | 200 |    2.928334ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 13:59:43 | 204 |      11.728µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 13:59:43 | 200 |    5.897254ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 13:59:48 | 204 |      21.091µs |    192.168.85.1 | OPTIONS  "/api/v1/verify/CERT20250910131825"
[GIN] 2025/09/10 - 13:59:48 | 200 |    1.557408ms |    192.168.85.1 | POST     "/api/v1/verify/CERT20250910131825"
[GIN] 2025/09/10 - 14:00:08 | 204 |      17.959µs |    192.168.85.1 | OPTIONS  "/api/v1/test-data"
[GIN] 2025/09/10 - 14:00:08 | 404 |    3.581959ms |    192.168.85.1 | POST     "/api/v1/test-data"
[GIN] 2025/09/10 - 14:00:11 | 204 |      30.398µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 14:00:11 | 200 |    3.278398ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 14:00:15 | 204 |       7.384µs |    192.168.85.1 | OPTIONS  "/api/v1/verify/CERT20250910131825"
[GIN] 2025/09/10 - 14:00:15 | 200 |    1.324023ms |    192.168.85.1 | POST     "/api/v1/verify/CERT20250910131825"
[GIN] 2025/09/10 - 14:00:16 | 204 |        8.57µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 14:00:16 | 200 |    3.381979ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 14:00:16 | 204 |      19.209µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 14:00:16 | 200 |    1.724096ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 14:00:19 | 204 |      10.788µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 14:00:19 | 200 |    2.269105ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=10"
[GIN] 2025/09/10 - 14:00:21 | 204 |      36.549µs |    192.168.85.1 | OPTIONS  "/api/v1/verify/CERT20250910130122"
[GIN] 2025/09/10 - 14:00:21 | 200 |    1.205728ms |    192.168.85.1 | POST     "/api/v1/verify/CERT20250910130122"
[GIN] 2025/09/10 - 14:00:22 | 204 |      30.317µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 14:00:22 | 200 |    3.612689ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=1"
[GIN] 2025/09/10 - 14:00:22 | 204 |       7.033µs |    192.168.85.1 | OPTIONS  "/api/v1/certificates?page=1&pageSize=5"
[GIN] 2025/09/10 - 14:00:22 | 200 |    2.023355ms |    192.168.85.1 | GET      "/api/v1/certificates?page=1&pageSize=5"
